Nom de la gare;;Total Voyageurs 2019;Total Voyageurs 2018;Total Voyageurs 2017;Total Voyageurs 2016;Total Voyageurs 2015
Bordeaux Saint-Jean;;17675655;16080989;14979299;12198403;12062338
Paris Montparnasse;;61374035;59174531;57752741;55162747;55167519
