Année;Mois;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet (min);Nombre de circulations prévues;Nombre de trains annulés;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ (min);Retard moyen de tous les trains au départ (min);Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée (min);Retard moyen de tous les trains à l'arrivée (min);Période
2016;10.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;211.296411856;641.0;0.0;45.0;25.7111111111;1.9890795631799998;110.0;35.4636363636;10.2527301092;2016-10
2017;5.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;208.8848;629.0;4.0;59.0;15.3389830508;1.4272;135.0;28.1925925926;8.7392;2017-05
2015;10.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.472392638;653.0;1.0;13.0;13.0769230769;0.44018404908;37.0;31.1891891892;3.22392638037;2015-10
2016;9.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;209.155802862;629.0;0.0;38.0;32.0263157895;2.10333863275;105.0;38.7714285714;9.63434022258;2016-09
2019;4.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.183006536;769.0;4.0;341.0;7.6850439882699995;3.31699346405;57.0;29.8257309942;1.39535947712;2019-04
2019;3.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.619824341;816.0;19.0;95.0;19.9231578947;2.00648264325;64.0;50.6140625;3.42063989962;2019-03
2018;9.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;149.244039271;714.0;1.0;96.0;7.14930555556;0.699158485273;52.0;23.0509615385;1.6306685367;2018-09
2018;10.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;149.694915254;708.0;0.0;81.0;7.50514403292;0.563512241055;49.0;21.2445578231;1.24799905838;2018-10
2019;1.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.411392405;819.0;29.0;106.0;16.1463836478;1.83983122363;65.0;42.1143589744;2.95061181435;2019-01
2016;2.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.620462046;606.0;2.0;15.0;14.5333333333;0.506600660066;40.0;30.375;4.83498349835;2016-02
2017;3.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;204.296137339;701.0;2.0;30.0;36.2;1.45922746781;98.0;41.5816326531;7.42775393419;2017-03
2015;6.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;215.078651685;625.0;2.0;45.0;36.6666666667;2.8908507223099997;78.0;53.1923076923;7.72712680578;2015-06
2016;4.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;208.037931034;580.0;13.0;21.0;24.1904761905;1.03448275862;45.0;43.1333333333;6.04655172414;2016-04
2016;1.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.832155477;566.0;1.0;23.0;15.9565217391;0.782685512367;45.0;42.4;5.6148409894;2016-01
2015;12.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.510015408;650.0;1.0;24.0;11.875;0.560862865948;33.0;31.0606060606;3.2126348228;2015-12
2015;8.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;213.514503817;655.0;0.0;47.0;26.6382978723;2.12061068702;64.0;52.21875;5.96030534351;2015-08
2019;2.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.289222374;741.0;8.0;66.0;11.3123737374;0.676034561164;54.0;23.6219135802;1.16800818554;2019-02
2018;1.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;143.40625;775.0;7.0;148.0;9.37781531532;1.5825303819399998;79.0;25.4791139241;2.54696180556;2018-01
2018;6.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;141.928902628;804.0;157.0;56.0;16.3098214286;1.36555899021;75.0;24.2031111111;2.9105615662;2018-06
2017;6.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.434375;648.0;8.0;102.0;23.6862745098;3.6140625;161.0;36.2236024845;12.1234375;2017-06
2017;11.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;147.513994911;794.0;8.0;62.0;15.8319892473;1.31060220526;118.0;27.8607344633;4.77996183206;2017-11
2017;1.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;204.617737003;667.0;13.0;66.0;18.2858585859;1.78970438328;124.0;25.697983871;7.77864424057;2017-01
2019;8.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;151.632513661;737.0;5.0;420.0;5.67369047619;2.92087887067;46.0;30.6507246377;1.47349726776;2019-08
2019;9.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;151.253117207;806.0;4.0;562.0;5.48917556346;3.69289276808;61.0;27.256284153;1.33453865337;2019-09
2019;10.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;149.722745626;784.0;41.0;591.0;5.79543147208;4.48497083894;85.0;28.5984313725;2.27063705698;2019-10
2019;11.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;145.712270804;738.0;29.0;548.0;6.52852798054;4.91927597555;86.0;34.3798449612;4.21372825576;2019-11
2020;4.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;153.891891892;92.0;55.0;35.0;7.18523809524;6.76576576577;20.0;22.6766666667;15.25;2020-04
2019;12.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.394648829;366.0;67.0;232.0;7.81034482759;5.9102006689;82.0;24.7705284553;7.56956521739;2019-12
2020;3.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.943946188;501.0;55.0;348.0;2.98936781609;2.20459641256;77.0;24.0032467532;5.4014573991;2020-03
2020;1.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;147.51584507;616.0;48.0;435.0;3.4946743295;2.56003521127;146.0;24.8706621005;8.83321596244;2020-01
2020;2.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;147.564788732;716.0;6.0;562.0;2.62841043891;1.97307511737;56.0;21.6172619048;2.22666666667;2020-02
2020;5.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;145.522222222;325.0;55.0;220.0;2.13121212121;1.6487037037;36.0;26.2458333333;4.36333333333;2020-05
2020;6.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;149.201039861;610.0;33.0;482.0;2.59882434302;2.09612940497;43.0;28.6081395349;1.69948006932;2020-06
